Ground Truth File,OCR File,Missing Percentage,Changed Percentage
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter96.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestPhi3VTranscriptions/Chapter96.txt,1.93%,12.50%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter22.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestPhi3VTranscriptions/Chapter22.txt,1.18%,6.67%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter44.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestPhi3VTranscriptions/Chapter44.txt,2.12%,5.88%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter35.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestPhi3VTranscriptions/Chapter35.txt,1.66%,11.11%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter11.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestPhi3VTranscriptions/Chapter11.txt,1.10%,0.00%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter61.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestPhi3VTranscriptions/Chapter61.txt,1.59%,14.29%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter64.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestPhi3VTranscriptions/Chapter64.txt,1.75%,6.45%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter52.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestPhi3VTranscriptions/Chapter52.txt,3.78%,0.00%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter12.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestPhi3VTranscriptions/Chapter12.txt,1.37%,4.17%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter117.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestPhi3VTranscriptions/Chapter117.txt,2.78%,0.00%
