Ground Truth File,OCR File,Missing Percentage,Changed Percentage
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter96.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter96.txt,1.88%,0.00%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter22.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter22.txt,1.61%,7.69%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter44.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter44.txt,0.94%,22.22%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter35.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter35.txt,1.10%,10.00%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter11.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter11.txt,1.24%,0.00%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter61.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter61.txt,1.18%,16.67%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter64.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter64.txt,1.18%,5.88%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter52.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter52.txt,2.38%,20.00%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter12.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter12.txt,0.80%,0.00%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter117.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter117.txt,1.93%,0.00%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter85.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter85.txt,1.46%,7.14%
/home/darshewskijadmin@consilio.com/ExperimentalLLMs/MobyDickTranscriptions/Chapter42.txt,/home/darshewskijadmin@consilio.com/ExperimentalLLMs/TestTesseractTranscriptions/Chapter42.txt,1.22%,13.04%
